,node_name,date,RPM,FUELRATE,ENGINE_LOAD,ENGTEMP,ENGOILPRES,wind_velocity,alignment_factor,signal_instance
0,"12-02, Amalia Wallenberg",2024-03-19,0.004006752,0.0031458412,0.0037179184,0.00796339,0.014274364,0.0038973265,0.03078997,0.25462437
1,"12-02, Amalia Wallenberg",2024-03-20,0.0066804052,0.006325465,0.007199453,0.010387059,0.011349026,0.008099337,0.028707122,0.25568378
2,"12-02, Amalia Wallenberg",2024-03-23,0.011096747,0.015268654,0.013001992,0.009573974,0.013968359,0.009678531,0.031009495,0.25729015
3,"12-02, Amalia Wallenberg",2024-03-24,0.005770813,0.006037683,0.005308978,0.016278543,0.01032825,0.007715916,0.08042201,0.26099563
4,"12-02, Amalia Wallenberg",2024-03-27,0.009706522,0.012263299,0.010680157,0.011319692,0.017872648,0.010140902,0.046656407,0.2592802
5,"12-02, Amalia Wallenberg",2024-03-30,0.005804292,0.008621184,0.006619772,0.0046464317,0.008265639,0.0031783942,0.034290817,0.25107914
6,"12-02, Amalia Wallenberg",2024-03-31,0.005137917,0.0055948794,0.004613977,0.0107067805,0.008171231,0.002937742,0.030161295,0.2515234
7,"12-02, Amalia Wallenberg",2024-04-01,0.010334011,0.010345546,0.014206531,0.02288457,0.024032023,0.011457533,0.13071124,0.28050458
8,"12-02, Amalia Wallenberg",2024-04-03,0.0042388197,0.0046630967,0.0056824596,0.009125866,0.014091538,0.015893731,0.14924577,0.25637367
9,"12-02, Amalia Wallenberg",2024-04-06,0.001343188,0.0018165922,0.0029553166,0.004652871,0.0065090014,0.000993707,0.019525696,0.2642415
10,"12-02, Amalia Wallenberg",2024-04-08,0.0034338958,0.00095750537,0.003964808,0.004966415,0.034984987,0.0049323356,0.01901511,0.25877464
11,"12-02, Amalia Wallenberg",2024-04-10,0.0016945335,0.0028777944,0.0040371334,0.0037392906,0.0174976,0.033134867,0.025896503,0.2541732
12,"12-02, Amalia Wallenberg",2024-04-14,0.0014637744,0.0037333083,0.004014544,0.0059398455,0.028127484,0.102785856,0.029344205,0.25821513
13,"12-02, Amalia Wallenberg",2024-04-15,0.0037739272,0.0019050475,0.0066272034,0.005757087,0.020019272,0.0018456221,0.044332918,0.28328463
14,"12-02, Amalia Wallenberg",2024-04-16,0.013106534,0.02107557,0.011423415,0.0054135527,0.013086517,0.016494947,0.058127698,0.2507136
15,"12-02, Amalia Wallenberg",2024-04-17,0.013655437,0.018487424,0.014333004,0.017318623,0.0156234605,0.009829624,0.059599858,0.26200008
16,"12-02, Amalia Wallenberg",2024-04-18,0.010588493,0.015505275,0.011374212,0.008356947,0.012375711,0.0039768904,0.11405896,0.2550882
17,"12-02, Amalia Wallenberg",2024-04-22,0.0022782625,0.0017319084,0.004770207,0.0053009144,0.014341331,0.0026818323,0.09931382,0.2714501
18,"12-02, Amalia Wallenberg",2024-04-26,0.011281308,0.012674902,0.008719856,0.008272011,0.012940292,0.002228554,0.096971765,0.25760904
19,"12-02, Amalia Wallenberg",2024-04-29,0.018703056,0.017434914,0.013890663,0.006311011,0.020480506,0.004943245,0.023487529,0.25665742
20,"12-02, Amalia Wallenberg",2024-04-30,0.019046402,0.018694848,0.017264577,0.04344331,0.034267064,0.026278121,0.110572584,0.28391418
21,"12-02, Amalia Wallenberg",2024-05-01,0.037896995,0.021723509,0.016034303,0.025809998,0.018411245,0.01606812,0.107815586,0.26384932
22,"12-02, Amalia Wallenberg",2024-05-03,0.013172844,0.016565979,0.012640465,0.03388091,0.017615631,0.012873095,0.13659877,0.27779812
23,"12-02, Amalia Wallenberg",2024-05-04,0.011241048,0.011647847,0.011453285,0.04390855,0.028660329,0.004274372,0.044636942,0.26272997
24,"12-02, Amalia Wallenberg",2024-05-07,0.01112989,0.013857536,0.010228572,0.008563004,0.020579584,0.004519327,0.06224702,0.25964308
25,"12-02, Amalia Wallenberg",2024-05-09,0.011390674,0.015741665,0.010469906,0.013591059,0.012950739,0.00292415,0.03295772,0.25951722
26,"12-02, Amalia Wallenberg",2024-05-10,0.006500119,0.007974846,0.007330336,0.009904787,0.009794741,0.0025894118,0.059939362,0.25779966
27,"12-02, Amalia Wallenberg",2024-05-13,0.010626445,0.015010296,0.00964183,0.0070141377,0.011260991,0.0012575848,0.052220568,0.25293377
28,"12-02, Amalia Wallenberg",2024-05-17,0.011698409,0.015685642,0.013222968,0.014387462,0.016236162,0.0031335673,0.047424592,0.25773692
29,"12-02, Amalia Wallenberg",2024-05-18,0.0045879176,0.0022545855,0.008464493,0.024900468,0.024985995,0.0015197424,0.11254134,0.26557833
30,"12-02, Amalia Wallenberg",2024-05-20,0.009918947,0.01222762,0.009412123,0.014496575,0.014379845,0.00664091,0.08690453,0.26289892
31,"12-02, Amalia Wallenberg",2024-05-24,0.012701262,0.016149746,0.011004709,0.022354985,0.013015554,0.008472594,0.04127471,0.2687026
32,"12-02, Amalia Wallenberg",2024-05-26,0.0060454565,0.008354205,0.0059287995,0.007918678,0.011761003,0.0034717794,0.060052212,0.25855052
33,"12-02, Amalia Wallenberg",2024-05-27,0.012883334,0.018332783,0.013687369,0.02230764,0.02068265,0.009476802,0.045215808,0.26918402
34,"12-02, Amalia Wallenberg",2024-05-28,0.008094735,0.004652363,0.00773237,0.01613266,0.050486136,0.0048460453,0.05735766,0.27408633
35,"12-02, Amalia Wallenberg",2024-05-29,0.009802116,0.011807363,0.010252273,0.016320953,0.013777023,0.0063920617,0.07140282,0.26373872
36,"12-02, Amalia Wallenberg",2024-05-31,0.01352595,0.020891622,0.0136476755,0.026629351,0.017088221,0.013454702,0.11026485,0.2760508
37,"12-02, Amalia Wallenberg",2024-06-01,0.021264324,0.03051932,0.018981047,0.040505316,0.021740885,0.019605994,0.091474496,0.2875016
38,"12-02, Amalia Wallenberg",2024-06-03,0.002163193,0.0024386975,0.003971422,0.002803284,0.017110905,0.0061671324,0.02971352,0.25694016
39,"12-02, Amalia Wallenberg",2024-06-07,0.0052550584,0.004501485,0.004847561,0.00689765,0.014451233,0.007184301,0.025547622,0.2577403
40,"12-02, Amalia Wallenberg",2024-06-08,0.0107321,0.015282216,0.012536098,0.0134635735,0.015527708,0.0131286625,0.042590007,0.2592925
41,"12-02, Amalia Wallenberg",2024-06-10,0.0019181218,0.0012118832,0.0026799538,0.00840764,0.0167973,0.009019308,0.03414106,0.26136994
42,"12-02, Amalia Wallenberg",2024-06-13,0.00641794,0.009969526,0.010563123,0.009826068,0.01254514,0.003855818,0.024529535,0.25077954
43,"12-02, Amalia Wallenberg",2024-06-17,0.0043346337,0.0009387524,0.0064815204,0.016463894,0.03319263,0.00088538945,0.099193364,0.26601267
44,"12-02, Amalia Wallenberg",2024-06-22,0.014307025,0.013962088,0.012251883,0.048134886,0.025462385,0.014880143,0.072370805,0.2833581
45,"12-02, Amalia Wallenberg",2024-06-23,0.006905126,0.010216929,0.008322,0.009401907,0.011840211,0.005369462,0.051588234,0.25765967
